Retailer Number,Retailer,Source/Affiliate Type,Connection Type,Username,Password,Server Name,Folder 1,Complete File Name,Incremental File Name,Delimiter,Staging table Name,Target Table,Full Load Flag,Incremental Load Flag,S3Flag,MySQLFlag,ESFlag
30,Grace and Lace,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=7192&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
29,Burlington,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=7955&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
31,Puma,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=6569&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
33,Timberland,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=5786&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
75,Design Within Reach,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=7007&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
76,Diane von Furstenberg - DVF,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=6046&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
106,Jones NY,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8372&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
108,Michael Stars,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8087&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
109,Paige Denim,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8043&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
121,Speedo,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=4465&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
124,Bonobos,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8413&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
201,Eagle Creek,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=8116&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
207,Herman Miller,Pepper Jam,HTTP,,,http://feeds.pepperjamnetwork.com/product-catalog/download/?affiliate_id=3333&advertisers%5B0%5D=7838&target=_self&delimiter=comma,,,,,,,1,1,1,1,1
,,,,,,,,,,,,,,,,,
